"id","title","authors","year","venue","doi_or_official_url","deep_review","code_url","method_family","pa_type","carrier_GHz","bandwidth_MHz","sample_rate_Msps","waveform","dataset_or_setup","training_method","feedback_or_adaptation","nmse_dB","evm","aclr_acpr","papr","model_size","inference_cost","bit_width","hardware_evidence","physical_pa_evidence","limitations","project_applicability","directly_comparable_to_OpenDPDv2","evidence_class","nrmse_percent","nmse_scope","spectral_scope_and_convention"
"X076","Mamba: Linear-Time Sequence Modeling with Selective State Spaces","Albert Gu; Tri Dao","2023","arXiv preprint","https://arxiv.org/abs/2312.00752","no","not applicable","selective state space","not applicable","not applicable","not applicable","not applicable","language/sequence benchmarks","general ML","gradient training","input-dependent state parameters","not applicable","not applicable","not applicable","not applicable","model-dependent","projections/gates/selective scan; not a cheap scalar recurrence","floating point source","general GPU kernels","no","no direct RF proof; APN-Mamba DPD is separate prior","full Mamba not first fast-path candidate","no","general-method","not reported","not applicable","not reported"
"X077","Overcoming Catastrophic Forgetting in Neural Networks","James Kirkpatrick; Razvan Pascanu; Neil Rabinowitz; Joel Veness; Guillaume Desjardins; Andrei A. Rusu; Kieran Milan; John Quan; Tiago Ramalho; Agnieszka Grabska-Barwinska; Demis Hassabis; Claudia Clopath; Dharshan Kumaran; Raia Hadsell","2017","PNAS","https://doi.org/10.1073/pnas.1611835114","no","not applicable","elastic weight consolidation; continual learning","not applicable","not applicable","not applicable","not applicable","general ML tasks","general ML","regularized sequential training","task sequence","not applicable","not applicable","not applicable","not applicable","model plus Fisher/importance storage","training overhead; inference unchanged","not applicable","general ML","no","not DPD; direct continual-DPD work is stronger","retention mechanism only","no","general-method","not reported","not applicable","not reported"
"X078","Deep Learning for Universal Linear Embeddings of Nonlinear Dynamics","Bethany Lusch; J. Nathan Kutz; Steven L. Brunton","2018","Nature Communications","https://doi.org/10.1038/s41467-018-07210-0","no","not applicable","deep Koopman representation","not applicable","not applicable","not applicable","not applicable","nonlinear dynamical systems","general dynamics benchmarks","encoder/linear dynamics/decoder training","offline","not applicable","not applicable","not applicable","not applicable","network/state-dependent","encoder and decoder dominate simple state","floating point source","general ML","no","no RF; arbitrary encoder impractical","motivates structured observables only","no","general-method","not reported","not applicable","not reported"
"M079","Regression Shrinkage and Selection via the Lasso","Robert Tibshirani","1996","Journal of the Royal Statistical Society Series B","https://doi.org/10.1111/j.2517-6161.1996.tb02080.x","no","not applicable","LASSO","not applicable","not applicable","not applicable","not applicable","regression","statistical benchmarks","L1-regularized regression","offline selection","not applicable","not applicable","not applicable","not applicable","selected predictors","calibration solver dependent; deployed selected terms","not applicable","none","no","general method; correlated groups can be unstable","sparse-selection baseline","no","general-method","not reported","not applicable","not reported"
"M080","Model Selection and Estimation in Regression with Grouped Variables","Ming Yuan; Yi Lin","2006","Journal of the Royal Statistical Society Series B","https://doi.org/10.1111/j.1467-9868.2005.00532.x","no","not applicable","group LASSO","not applicable","not applicable","not applicable","not applicable","regression","statistical benchmarks","group-regularized regression","offline selection","not applicable","not applicable","not applicable","not applicable","selected groups","calibration solver dependent; deployed selected groups","not applicable","none","no","group scaling and collinearity require care","spline-branch group selection baseline","no","general-method","not reported","not applicable","not reported"
"M081","A New Approach to Linear Filtering and Prediction Problems","R. E. Kalman","1960","Journal of Basic Engineering","https://doi.org/10.1115/1.3662552","no","not applicable","Kalman filter","not applicable","not applicable","not applicable","not applicable","linear dynamical systems","theory","recursive state estimation","online observations","not applicable","not applicable","not applicable","not applicable","state/covariance-dependent","O(C^2) or greater update for dense covariance","not applicable","none","no","general theory; does not imply EKF/UKF benefit for DPD","coefficient/state tracking baseline","no","general-method","not reported","not applicable","not reported"
"M082","Continuous Inspection Schemes","E. S. Page","1954","Biometrika","https://doi.org/10.1093/biomet/41.1-2.100","no","not applicable","CUSUM change detection","not applicable","not applicable","not applicable","not applicable","sequential observations","theory","sequential change detection","online statistic","not applicable","not applicable","not applicable","not applicable","constant state","few arithmetic operations per monitored frame","not applicable","none","no","threshold/false-alarm calibration is domain-specific","frame-level drift detector baseline","no","general-method","not reported","not applicable","not reported"
"D083","A Spectrum-Sensing DPD Feedback Receiver With 30x Reduction in ADC Acquisition Bandwidth and Sample Rate","Nikolaus Hammler; Andreia Cathelin; Philippe Cathelin; Boris Murmann","2019","IEEE Transactions on Circuits and Systems I: Regular Papers","https://doi.org/10.1109/TCSI.2019.2920828","no","not reported","frequency-domain spectrum-sensing DPD feedback receiver","feedback receiver prototype; PA details not extracted","not reported","not reported","not reported","not reported","hardware feedback-receiver experiment","frequency-domain observation for DPD calibration","reduced-bandwidth observation feedback","not reported","not reported","not reported","not reported","not applicable to deployed DPD","observation-path cost; not deployed DPD inference","not reported","feedback-receiver hardware prototype","feedback hardware evidence; PA linearization details not extracted","receiver paper does not establish the deployed DPD Pareto result","supports asynchronous/reduced-bandwidth residual observer","no","hardware-real","not reported","not reported","not reported"
"D084","A Digital Predistortion Model Based on Augmented Phase-Normalized Mamba Network","Zhengying Yang; Shuman Kong; Tianfu Cai; Sijie Zhang; Yi Jin; Mingyu Li","2026","Engineering Science and Technology, an International Journal","https://doi.org/10.1016/j.jestch.2026.102408","no","not reported","APN-Mamba; phase normalization; amplitude-enhanced FIR","Class-F PA; two Doherty PA setups","not reported","40; 100; 160","not reported","not reported","three reported experimental PA setups","gradient training","offline DPD training; adaptation not reported","exact values not extracted","exact values not extracted","exact values not extracted","not reported","not reported","complete real-operation/state count not reported","not reported","no FPGA/ASIC evidence reported","paper reports experimental PA setups","very recent; streaming boundaries, fixed-point and hardware throughput not established for this project","high-risk comparator to compact diagonal-state and APNRRU baselines","no","physical-DPD","not reported","paper-specific; see evidence and dataset fields","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D085","Low-Complexity Adaptive DPD: From Online Optimization to Meta-Learning","Alexis Falempin; Jean-Baptiste Dore; Rafik Zayani; Emilio Calvanese Strinati","2022","IEEE Transactions on Broadcasting","https://doi.org/10.1109/TBC.2022.3204229","no","not reported","meta-learned DPD initialization; DPD NN weights selector","time-varying PA models in numerical simulation","not applicable","not reported","not reported","complex IQ symbols","numerical PA-model scenarios","offline meta-training; few-shot online adaptation","online adaptation on 3000 IQ symbols reported","not reported","reported but exact values not extracted","reported but exact values not extracted","not reported","small dedicated NN; exact count not extracted","online calibration reduced; full deployed cost not extracted","not reported","none reported","no; numerical simulations","simulation and comparison to warm-start/bank/ridge remain limiting","slow-path adaptation comparator","no","simulation","not reported","not reported","paper-specific; see aclr_acpr cell; do not numerically merge across rows"
"D086","Low-Complexity Adaptive Digital Pre-Distortion with Meta-Learning Based Neural Networks","Alexis Falempin; Rafik Zayani; Jean-Baptiste Dore; Emilio Calvanese Strinati","2022","IEEE Consumer Communications & Networking Conference","https://doi.org/10.1109/CCNC49033.2022.9700529","no","https://cea.hal.science/cea-03837858","meta-learning based NN DPD","time-varying HPA models","not applicable","not reported","not reported","complex IQ symbols","numerical simulation","offline meta-training; few-shot adaptation","online coefficient adaptation","not reported","not reported","not reported","not reported","small feed-forward NN; exact count not extracted","not reported","not reported","none reported","no; numerical simulation","conference precursor; no physical PA or target hardware evidence","meta-learning prior; compare to direct warm-start and ridge","no","simulation","not reported","not reported","not reported"
"D087","Growing NAS for Complex-Valued CNNs in Digital Predistortion Power Amplifier Applications","Jiang Xiao; Yi Zhong; Yun Li","2024","International Joint Conference on Neural Networks","https://doi.org/10.1109/IJCNN60899.2024.10651335","no","not reported","hardware-aware/growing NAS; complex-valued CNN DPD","not reported","not reported","not reported","not reported","not reported","paper experiment; physical-evidence details not extracted","neural architecture search","offline","not reported","not reported","not reported","not reported","searched architecture dependent","target cost model and complete deployed count not extracted","not reported","hardware implementation not established from verified metadata","not established","full-text experimental evidence and causal look-ahead require verification","later hardware-aware search reference only","no","uncertain","not reported","not reported","not reported"
"X088","Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks","Chelsea Finn; Pieter Abbeel; Sergey Levine","2017","International Conference on Machine Learning","https://proceedings.mlr.press/v70/finn17a.html","no","https://github.com/cbfinn/maml","meta-learning initialization","not applicable","not applicable","not applicable","not applicable","few-shot ML tasks","general ML benchmarks","gradient-based meta-learning","few-gradient-step adaptation","not applicable","not applicable","not applicable","not applicable","model-dependent","meta-training and adaptation cost model-dependent","floating point source","general ML","no","not a DPD method and provides no RF safety mechanism","mechanism source; must beat warm-start/bank/ridge","no","general-method","not reported","not applicable","not reported"
"X089","Neural Ordinary Differential Equations","Ricky T. Q. Chen; Yulia Rubanova; Jesse Bettencourt; David Duvenaud","2018","Advances in Neural Information Processing Systems","https://arxiv.org/abs/1806.07366","no","https://github.com/rtqichen/torchdiffeq","neural ODE","not applicable","not applicable","not applicable","not applicable","general continuous-depth ML benchmarks","general ML","adjoint/gradient training with numerical ODE solver","continuous hidden dynamics","not applicable","not applicable","not applicable","not applicable","model-dependent","adaptive-solver work and latency are input/tolerance dependent","floating point source","general ML","no","variable-latency solver is unsuitable for the deployed sample path","offline analogy only; discrete one-pole state is preferred","no","general-method","not reported","not applicable","not reported"
